20200526_094329	127.0.0.1	ELISA 	 PDF	

20200526_095437	127.0.0.1	ELISA 	 PDF	

20200526_095501	127.0.0.1	ELISA 	 XLSX	

20200526_095932	127.0.0.1	ELISA 	 TXT	

20210330_112445	127.0.0.1	ELISA 	 PDF	

20210330_113336	127.0.0.1	ELISA 	 PDF	

20210330_113622	127.0.0.1	ELISA 	 PDF	

20210330_113933	127.0.0.1	ELISA 	 PDF	

20210330_114200	127.0.0.1	ELISA 	 PDF	

20210330_114620	127.0.0.1	ELISA 	 XLSX	

20210330_114632	127.0.0.1	ELISA 	 XLSX	

20210330_114718	127.0.0.1	ELISA 	 TXT	

20210330_114820	127.0.0.1	ELISA 	 PDF	

20210330_115720	127.0.0.1	ELISA 	 PDF	

20210330_120300	127.0.0.1	ELISA 	 PDF	

20210330_120743	127.0.0.1	ELISA 	 PDF	

20210330_120846	127.0.0.1	ELISA 	 PDF	

20210330_121218	127.0.0.1	ELISA 	 PDF	

